Airfoil,CL,CD,CM,CL/CD
EPPLER 855 AIRFOIL,[1.10132843],[0.00628629],[-0.12617938],[175.19533876]
EPPLER 561 AIRFOIL,[1.27961144],[0.00730511],[-0.16165905],[175.16658139]
EPPLER 580 AIRFOIL,[1.24674703],[0.00712356],[-0.16506934],[175.01732874]
SOKOLOV AIRFOIL,[1.26315806],[0.00722472],[-0.16265949],[174.83822531]
GOE 675 AIRFOIL,[1.23993076],[0.00709366],[-0.14277514],[174.79420208]
S1221  w/o flap,[1.33597557],[0.0076446],[-0.18348533],[174.76073727]
EPPLER 587 AIRFOIL,[1.23089196],[0.00704456],[-0.16051574],[174.72948554]
GOE 610 B AIRFOIL,[1.08795103],[0.00622854],[-0.10506497],[174.67195483]
GOE 284 AIRFOIL,[1.09963108],[0.00631151],[-0.09685701],[174.22640519]
GOE 389 AIRFOIL,[1.00883715],[0.00579336],[-0.09161365],[174.13691793]
S1221  w/ 4 deg flap,[1.55383933],[0.00892617],[-0.21961017],[174.07689423]
SP4721BS,[1.3586141],[0.00780637],[-0.19459196],[174.03905892]
GOE 277 (DAIMLER VIII) AIRFOIL,[1.02012617],[0.00586585],[-0.08694681],[173.9094499]
MH 83  13.29%,[1.0386642],[0.00597394],[-0.06418884],[173.86571739]
E210  (13.64%),[1.13114024],[0.00650695],[-0.13077182],[173.83571041]
FX 84-W-127,[0.96257687],[0.0055441],[-0.08442706],[173.62189785]
GOE 533 AIRFOIL,[1.13369786],[0.00653022],[-0.10881812],[173.60800073]
GOE 553 AIRFOIL,[1.14414573],[0.00659988],[-0.1098296],[173.35852765]
NACA6409 9%,[1.21570454],[0.00701785],[-0.14514007],[173.23022126]
GOE 304 (FRIEDRICHSHAFEN G02) AIRFOIL,[1.22566506],[0.00708749],[-0.1326691],[172.93357749]
FX 63-143 AIRFOIL,[0.94742609],[0.00548348],[-0.0719696],[172.77835937]
GOE 380 AIRFOIL,[1.09000046],[0.00630936],[-0.09469019],[172.75931732]
GOE 476 AIRFOIL,[1.00155593],[0.00579898],[-0.08330908],[172.71235869]
FX 79-W-151 A,[0.87573024],[0.00507232],[-0.05719292],[172.64881355]
GOE 314 (HANSA-BRANDENBURG) AIRFOIL,[0.99625472],[0.00577246],[-0.07329749],[172.58761483]
GOE 462 AIRFOIL,[1.73032815],[0.01002907],[-0.21377568],[172.53131926]
GOE 615 AIRFOIL,[1.1669896],[0.00677313],[-0.11205761],[172.296826]
