Airfoil,CL,CD,CM,CL/CD
MH 91  14.98%,[0.58647009],[0.00565876],[0.02378902],[103.63927823]
LOCKHEED L-188 ROOT AIRFOIL,[0.81048387],[0.00782031],[-0.06102714],[103.63833063]
EH 2.0/7.0,[0.63945066],[0.00617013],[-0.00017155],[103.6365797]
NACA 1410,[0.66985845],[0.00646482],[-0.02471339],[103.61596771]
GRUMMAN K-3 AIRFOIL,[1.12758359],[0.01089399],[-0.14571038],[103.5051291]
EPPLER 426 AIRFOIL,[0.66069648],[0.0063849],[-0.01716786],[103.47801466]
NACA 63(2)-215 MOD B,[0.7698423],[0.00744295],[-0.03161901],[103.4324389]
EPPLER 817 HYDROFOIL AIRFOIL,[0.96531535],[0.00934211],[-0.12348054],[103.32953188]
NACA 1412,[0.67479593],[0.00653613],[-0.02511022],[103.24088871]
EPPLER E851 AIRFOIL,[0.87758],[0.0085018],[-0.09291627],[103.22281228]
GOE 505 AIRFOIL,[0.89570114],[0.00868575],[-0.06094881],[103.12304212]
NACA 63(2)A-015,[0.66582587],[0.00645667],[-0.00743635],[103.12224454]
NASA/LANGLEY RC-12(B)3 AIRFOIL,[0.5969566],[0.00578912],[0.00831443],[103.11693956]
NPL 9660 AIRFOIL,[0.67839858],[0.00658263],[-0.01911991],[103.05884043]
GIII BL288 AIRFOIL,[0.65940011],[0.00639916],[-0.0164924],[103.04474798]
RAE 5215 AIRFOIL,[0.81363888],[0.00790041],[-0.06240292],[102.98691852]
LOCKHEED C-5A BL576 AIRFOIL,[0.73780694],[0.00716558],[-0.05353282],[102.9654465]
KC-135 BL124.32 AIRFOIL,[0.69924291],[0.00679316],[-0.02056216],[102.93337304]
BOEING 737 MIDSPAN AIRFOIL,[0.70792187],[0.00688461],[-0.0100343],[102.82667521]
BOEING-VERTOL VR-8 AIRFOIL,[0.66560211],[0.00647446],[-0.01851552],[102.80431207]
AG47c -03f,[0.56997918],[0.00554593],[-0.01665754],[102.77424644]
NASA SC(2)-0706 AIRFOIL,[1.03815559],[0.01010329],[-0.10967335],[102.75426117]
MH 95  15.86%,[0.74524028],[0.00725744],[-0.03695354],[102.68638397]
NACA 64-208,[0.73376118],[0.0071466],[-0.04448852],[102.67276737]
EPPLER 335 AIRFOIL,[0.5137469],[0.00500441],[0.05019222],[102.6589221]
MH 110  10.01%,[0.50244802],[0.00489707],[0.03680441],[102.6017526]
MH 33,[0.67670497],[0.00659702],[-0.02512067],[102.57743976]
NASA/LANGLEY RC-08(N)1 AIRFOIL,[0.6076602],[0.00593105],[0.00282133],[102.45407927]
EPPLER 340 AIRFOIL,[0.5292457],[0.00516873],[0.04952145],[102.39371538]
NASA SC(2)-0414 AIRFOIL,[0.909057],[0.00887825],[-0.09642614],[102.39151212]
Coanda 1,[0.818847],[0.00799799],[-0.04098848],[102.38166117]
GOE 416A AIRFOIL,[0.75795848],[0.00740619],[-0.04625996],[102.3411668]
KC-135 BL52.44 AIRFOIL,[0.70220022],[0.00686148],[-0.01729697],[102.33952248]
NACA 1408,[0.67360227],[0.00658722],[-0.02639364],[102.25893296]
NACA 23018,[0.71262192],[0.00696966],[-0.00812125],[102.24635256]
NASA SC(2)-1006 AIRFOIL,[1.34315259],[0.01317966],[-0.14029489],[101.91098778]
EPPLER STE 871-514 AIRFOIL,[0.94149664],[0.00924285],[-0.09726633],[101.86215127]
KC-135 BL200.76 AIRFOIL,[0.70204395],[0.00689333],[-0.02352883],[101.84394178]
NACA 63-206,[0.72419166],[0.00711282],[-0.04284578],[101.81503401]
NACA 63-209,[0.7372036],[0.00724132],[-0.04414445],[101.80509834]
EPPLER 664 (EXTENDED) AIRFOIL,[1.79230369],[0.01761423],[-0.29446322],[101.75314294]
NACA 64-206,[0.72297153],[0.00710642],[-0.04282771],[101.73494636]
BOEING-VERTOL VR-1 AIRFOIL,[0.71537723],[0.00704462],[-0.0334602],[101.54948395]
SIKORSKY SSC-A07 AIRFOIL,[0.62643039],[0.00617054],[-0.00985552],[101.51960378]
S8036 (16%),[0.67784967],[0.00667766],[-0.0172669],[101.51001015]
S4094 (root airfoil designed for and used on the E-flite UMX ASK-21 scale RC sailplane),[0.83449925],[0.00822902],[-0.05069982],[101.40933779]
NACA 63-210 AIRFOIL,[0.7434936],[0.0073319],[-0.04531842],[101.40535874]
MH 92  15.49%,[0.57193488],[0.00564183],[0.02834979],[101.37394816]
BOEING AIRFOIL J,[0.82942397],[0.00818551],[-0.08450617],[101.32835757]
EPPLER 403 AIRFOIL,[1.04190997],[0.01028261],[-0.13881512],[101.32737462]
NACA 64-209,[0.73739004],[0.00727845],[-0.04498211],[101.31136433]
NASA SC(2)-0606 AIRFOIL,[0.94382891],[0.00931657],[-0.08941261],[101.30648373]
NASA LRN 1015 (NASA TM 102840),[1.01792018],[0.01004952],[-0.08539438],[101.2904493]
NPL 9615 AIRFOIL,[0.61172644],[0.00604052],[-0.0036599],[101.27041341]
NASA SC(2)-0412 AIRFOIL,[0.87001756],[0.00860289],[-0.08710642],[101.13079611]
S8025 (8%),[0.58839965],[0.00582781],[0.00143072],[100.96411515]
NACA 64(3)-218,[0.7590073],[0.00752226],[-0.04730174],[100.90153882]
USA 49 AIRFOIL,[0.70656368],[0.0070097],[-0.03154929],[100.79797481]
P-51D ROOT (BL17.5) AIRFOIL,[0.76269245],[0.00757524],[-0.0484933],[100.6823061]
EPPLER 818 HYDROFOIL AIRFOIL,[0.96881881],[0.00962866],[-0.12362103],[100.61826172]
NASA/LANGLEY RC-10(N)1 AIRFOIL,[0.59917912],[0.00595588],[0.00473027],[100.60296189]
LOCKHEED C-141 BL426.57 AIRFOIL,[0.70038751],[0.00696442],[-0.03749176],[100.56651248]
MH 94  16.03%,[0.77773956],[0.00773676],[-0.04769876],[100.52517205]
EPPLER 428 AIRFOIL,[0.64413504],[0.00640852],[-0.01472409],[100.51224913]
NASA/AMES A-03 AIRFOIL,[0.64072445],[0.00637602],[-0.0048902],[100.48967469]
EPPLER 417 AIRFOIL,[1.02164764],[0.01017669],[-0.13780318],[100.39092716]
EPPLER 361 AIRFOIL,[0.62282851],[0.00620559],[0.00390227],[100.36565524]
EPPLER 360 AIRFOIL,[0.64367534],[0.00641613],[-0.00357101],[100.32136988]
NASA/LANGLEY RC-12(N)1 AIRFOIL,[0.60079015],[0.00599804],[0.00313723],[100.16447076]
BOEING VERTOL V13006-.7 AIRFOIL,[0.62145582],[0.00620993],[-0.00781779],[100.07460723]
GRUMMAN K-2 AIRFOIL,[0.77083679],[0.0077039],[-0.08695866],[100.05796159]
HQ 1.0/8 AIRFOIL,[0.68086187],[0.00681098],[-0.028449],[99.96539062]
M6 (85%),[0.59103027],[0.00591551],[0.00887112],[99.91195347]
NACA 64-210,[0.73845143],[0.00739369],[-0.04489381],[99.87593458]
GOE 703 AIRFOIL,[0.53176835],[0.00532688],[0.02636694],[99.8273799]
RAF 25 AIRFOIL,[0.68135566],[0.00683484],[-0.03189317],[99.68863144]
LOCKHEED C-5A BL488.2 AIRFOIL,[0.72709635],[0.0073005],[-0.05189243],[99.59546251]
NLR-7223-62 AIRFOIL,[0.60825831],[0.00610871],[-0.00106905],[99.57234555]
NACA 5-H-10 AIRFOIL,[0.63257774],[0.00635317],[0.0006956],[99.56887669]
NACA 65-209,[0.73498201],[0.00738289],[-0.04602325],[99.55204919]
NACA M4 AIRFOIL,[0.6374884],[0.00641565],[-0.00156764],[99.36464798]
NACA 63-215 AIRFOIL,[0.75027029],[0.00755523],[-0.04488124],[99.30475228]
NACA 63-212 AIRFOIL,[0.74329049],[0.00748889],[-0.04443331],[99.25247332]
GIII BL207 AIRFOIL,[0.65034093],[0.006554],[-0.01638919],[99.22816354]
NASA SC(2)-0410 AIRFOIL,[0.82957347],[0.00836193],[-0.07735224],[99.20835299]
NACA 63A210,[0.71930749],[0.00725178],[-0.04065863],[99.19041403]
NLR-7301 AIRFOIL,[0.88073416],[0.0089007],[-0.07925947],[98.95111912]
NACA 65-206,[0.72102447],[0.00728956],[-0.04332666],[98.91190846]
MH 93  15.98%,[0.55545316],[0.00562709],[0.03317188],[98.71049245]
HQ 1.0/10 AIRFOIL,[0.68351789],[0.00692563],[-0.0284317],[98.69403477]
WORTMANN FX 2 AIRFOIL,[0.91936569],[0.00932435],[-0.11732476],[98.59833278]
HQ 1.0/9 AIRFOIL,[0.68174863],[0.00692228],[-0.02825809],[98.48610039]
EPPLER 908 AIRFOIL,[0.9032487],[0.0091738],[-0.10441073],[98.45957613]
NACA 64A210,[0.7192315],[0.00731243],[-0.04120139],[98.35742678]
Gottingen 765 airfoil (recovered). Thick: .144 LE radius: 0.02062 LE slope: 0.17300,[0.50843403],[0.0051718],[0.0449572],[98.3088642]
NACA 65-210,[0.73625897],[0.00750637],[-0.04623863],[98.0845899]
Dormoy,[0.98582831],[0.01006128],[-0.05501959],[97.9824096]
E. Bambino,[0.52368389],[0.00534801],[-0.00139945],[97.92130683]
NACA 64(1)-212,[0.74290221],[0.00759024],[-0.04534776],[97.87599921]
NPL 9627 AIRFOIL,[0.63746546],[0.00651915],[-0.0109791],[97.78349558]
S8023 (7.6%),[0.56114614],[0.0057394],[0.00329499],[97.770897]
DU86-084/18 8.44%,[0.67753651],[0.00693127],[-0.0243405],[97.75072397]
RAF 69 AIRFOIL,[0.64426925],[0.00660277],[-0.01629401],[97.57565339]
MH 25  9.98%,[0.64977136],[0.00667749],[-0.01987491],[97.30766192]
GOE 481A AIRFOIL,[0.86853962],[0.00892926],[-0.06841538],[97.26890915]
GIII BL45 AIRFOIL,[0.55693006],[0.00572771],[0.00860996],[97.23426125]
EH 1.0/9.0,[0.58926988],[0.00606696],[0.00262196],[97.12776787]
GIII BL167 AIRFOIL,[0.64717172],[0.0066632],[-0.01631742],[97.12621915]
NACA M5 AIRFOIL,[0.6099451],[0.00631376],[0.00458852],[96.60572647]
BOEING-VERTOL VR-8 AIRFOIL WITH TAB,[0.65635291],[0.00680685],[-0.0180753],[96.42529937]
ONERA HOR04 AIRFOIL,[0.75351558],[0.00781836],[-0.04577031],[96.37776414]
BOEING 737 ROOT AIRFOIL,[0.71792618],[0.0074579],[-0.00135394],[96.26378831]
NACA 66-209,[0.71247513],[0.00740948],[-0.04255777],[96.15723156]
MH 24  9.01%,[0.6436766],[0.00670052],[-0.01718716],[96.0636663]
GIII BL145 AIRFOIL,[0.64547718],[0.00671927],[-0.01624712],[96.06355616]
EPPLER 49 AIRFOIL,[1.35856724],[0.0141729],[-0.18587599],[95.85669692]
S8038 (13%),[0.64700931],[0.00676278],[-0.01539955],[95.67214105]
GIII BL0 AIRFOIL,[0.52498543],[0.00548761],[0.01750467],[95.66735856]
NACA 65(1)-212 a=0.6,[0.72485299],[0.00757732],[-0.03947683],[95.66086236]
HT 14,[0.56467792],[0.00590637],[0.00182198],[95.60490332]
NASA/LANGLEY RC08-64C AIRFOIL,[0.62541363],[0.0065453],[-0.01295224],[95.55156466]
EPPLER 325 AIRFOIL,[0.48484641],[0.0050763],[0.05129304],[95.51177191]
NACA 65(1)-212,[0.74045549],[0.00775798],[-0.04703149],[95.44437095]
NACA 0010-34 a=0.8 c(li)=0.2,[0.69658063],[0.00729885],[-0.03877205],[95.43708914]
MH 23  8%,[0.63199186],[0.00662216],[-0.01321573],[95.43592476]
MH 26  10.99%,[0.61096225],[0.00642442],[-0.01155234],[95.09995512]
NACA 66-206,[0.70853712],[0.00745073],[-0.04116998],[95.09632165]
YS-920,[0.76429649],[0.00803775],[-0.06852723],[95.08836941]
NACA 64-215 AIRFOIL,[0.74935082],[0.00788487],[-0.04615276],[95.03650839]
NACA 64(2)-215,[0.74935082],[0.00788487],[-0.04615276],[95.03650839]
EPPLER E850 AIRFOIL,[0.8127217],[0.00855706],[-0.07925655],[94.97678063]
NACA 0012-64 a=0.8 c(li)=0.2,[0.65327038],[0.00688197],[-0.01338593],[94.92488314]
NASA SC(2)-0406 AIRFOIL,[0.74019391],[0.00780697],[-0.04615654],[94.81198942]
NACA 66-210,[0.71028587],[0.00749502],[-0.04224916],[94.76768212]
RUTAN WING AIRFOIL,[0.70931501],[0.00748695],[-0.03584756],[94.74014868]
NPL 9510 AIRFOIL,[0.82389408],[0.00869849],[-0.09139222],[94.71691203]
NACA 23021,[0.70805367],[0.0074776],[-0.00448312],[94.68996892]
E182 (8.47%),[0.64224157],[0.00679478],[-0.00628121],[94.51980339]
E226  (10.19%),[0.6450036],[0.00683604],[-0.01827796],[94.35336639]
TH 25816 HALE AIRFOIL,[0.77895516],[0.00827533],[-0.08030625],[94.12977872]
E186  (10.27%),[0.49096932],[0.00522673],[0.03857755],[93.93440719]
FX 66-H-60,[0.55108466],[0.00587035],[0.0248377],[93.87592824]
NACA 64-108 AIRFOIL,[0.64739381],[0.00690354],[-0.02370821],[93.77701597]
GIII BL126 AIRFOIL,[0.62178166],[0.00663094],[-0.00989426],[93.76983056]
NASA/LANGLEY RC10-64C AIRFOIL,[0.61049789],[0.00651564],[-0.00862018],[93.69729623]
GOE 598 AIRFOIL,[0.66004223],[0.00704956],[-0.02719686],[93.62884815]
S9033 (7.5%),[0.55889721],[0.00596991],[0.00245494],[93.61904821]
Eh 1.0/7.0,[0.59690771],[0.00637932],[0.00012064],[93.56914874]
M6 (65%),[0.59436225],[0.00635429],[0.00263163],[93.53717158]
S8066 (10% version of S8065 w/ lower surface aerodynamically similar),[0.65278843],[0.00698837],[-0.02575848],[93.41065676]
NASA/LANGLEY RC-10(B)3 AIRFOIL,[0.58251789],[0.00623757],[0.00653694],[93.38853916]
NACA 66(2)-415,[0.82503834],[0.00884454],[-0.07189211],[93.28217661]
GIII BL75 AIRFOIL,[0.5730167],[0.00614288],[0.00388744],[93.28144509]
HUGHES HELICOPTERS HH-02 AIRFOIL,[0.60787242],[0.00654942],[0.0083819],[92.81311355]
ONERA OA206 AIRFOIL,[0.60709349],[0.00654538],[-0.0026856],[92.7514297]
LOCKHEED C-141 BL113.6 AIRFOIL,[0.67102384],[0.00724381],[-0.03226301],[92.63407917]
Glenn Martin 3,[0.99333799],[0.01072611],[-0.06836441],[92.60933918]
RAE 2822 AIRFOIL,[0.76013686],[0.00822031],[-0.06543921],[92.47054774]
RAE6-9CK AIRFOIL,[0.76013686],[0.00822031],[-0.06543921],[92.47054774]
NASA/LANGLEY RC-SC2 AIRFOIL,[0.6107446],[0.00660599],[-0.01570179],[92.45309525]
YS-915,[0.7080005],[0.00765835],[-0.05338597],[92.44814355]
S9027 (8%),[0.55259664],[0.00598449],[0.00348945],[92.33814227]
BOEING HSNLF AIRFOIL,[0.767526],[0.00832112],[-0.0684733],[92.23834732]
W1011,[0.56556993],[0.00613369],[0.00080541],[92.2071478]
GIII BL86 AIRFOIL,[0.5809442],[0.0063039],[0.00155753],[92.15626525]
GOE 561 AIRFOIL,[1.14499517],[0.01242504],[-0.07029991],[92.15225332]
HT 13,[0.56023166],[0.00608614],[0.00203157],[92.05045912]
NACA 65(2)-215,[0.74411748],[0.00808656],[-0.04784807],[92.01903618]
S8065 (11% version of S8064),[0.65519129],[0.00713803],[-0.02651261],[91.78882195]
GOE 575 AIRFOIL,[0.80907191],[0.0088153],[-0.04323806],[91.78041455]
NACA 65(3)-218,[0.7502013],[0.00817453],[-0.04917037],[91.77298552]
NPL AIRFOIL FROM ARC CP 1372,[0.69249171],[0.00755467],[-0.05370536],[91.66409519]
NPL 9626 AIRFOIL,[0.61787797],[0.00675545],[-0.00841304],[91.46357519]
NACA 64-110 AIRFOIL,[0.65185011],[0.00713506],[-0.02431411],[91.35871246]
NASA/LANGLEY RC-08(B)3 AIRFOIL,[0.5723686],[0.00627954],[0.00269294],[91.14813947]
S9032 (9%),[0.54674693],[0.00600445],[0.00456309],[91.05697649]
E169  (14.4%),[0.56799133],[0.00623872],[0.00112486],[91.04295369]
HAWKER TEMPEST 37.5% SEMISPAN AIRFOIL,[0.54277408],[0.00596612],[0.00368607],[90.97600485]
NACA 66(1)-212,[0.70221001],[0.00773119],[-0.04098052],[90.82824076]
FX 76-120,[0.55366168],[0.00610559],[0.00209378],[90.68114329]
OAF128 AIRFOIL,[0.7429785],[0.00819478],[-0.03403343],[90.66489832]
HT35,[0.55299718],[0.00610459],[0.00238098],[90.58709987]
NASA NLF(1)-0414F,[0.80394251],[0.00887849],[-0.06260867],[90.54943244]
BELL 540 AIRFOIL (MODIFIED NACA 0012),[0.57524796],[0.00635782],[-8.79091342e-06],[90.47880253]
S1046 17% (Danny Howell),[0.57048096],[0.00631365],[-0.00053757],[90.35676958]
NACA 63(3)-018,[0.58924329],[0.00652152],[-0.00739501],[90.35364525]
E168  (12.45%),[0.56009274],[0.0062001],[0.00246736],[90.33607086]
S1048 14% (Danny Howell),[0.56088362],[0.00621355],[0.00063439],[90.26785549]
WORTMANN FX 71-089A AIRFOIL,[0.54747299],[0.00606953],[0.00652513],[90.20026723]
LOCKHEED C-141 BL0 AIRFOIL,[0.66289495],[0.00735151],[-0.03067324],[90.17123591]
FX 77-080,[0.55073112],[0.0061094],[0.00253189],[90.14490332]
HT34,[0.55454109],[0.00616065],[0.00141423],[90.01337945]
LOCKHEED C-5A BL0 AIRFOIL,[0.66972552],[0.00744824],[-0.04073211],[89.91731185]
HT33,[0.55689373],[0.00619495],[0.00120787],[89.89475266]
E184  (8.33%),[0.55808403],[0.00621098],[0.01427758],[89.85436442]
GOE 514 AIRFOIL,[0.85803407],[0.00955627],[-0.03958802],[89.78756565]
S9026 (9.5%),[0.54553637],[0.00608205],[0.00437187],[89.69617484]
NACA 64(1)-112,[0.65642128],[0.00732016],[-0.02499909],[89.67311701]
FX 76-100,[0.54909801],[0.00612413],[0.00236826],[89.6613213]
HAWKER TEMPEST 96.77% SEMISPAN AIRFOIL,[0.5995038],[0.00669346],[-0.00926077],[89.56558043]
NASA/LANGLEY RC12-64C AIRFOIL,[0.61947238],[0.00692349],[-0.01134448],[89.47397049]
TsAGI 8% AIRFOIL,[0.58924847],[0.00659044],[0.00279152],[89.40961889]
S1010 HPV airfoil,[0.54956725],[0.00616531],[0.00325699],[89.13857429]
GOE 10K AIRFOIL,[0.73175583],[0.00821069],[-0.04822821],[89.12231985]
EPPLER 874 HYDROFOIL AIRFOIL,[0.65414943],[0.00734005],[-0.02076195],[89.12055962]
D.G.A. 1182,[0.60408305],[0.00678621],[-0.00897724],[89.01631619]
P-51D TIP (BL215) AIRFOIL,[0.68760677],[0.0077266],[-0.03468384],[88.99218544]
AH 81-K-144 W-F KLAPPE,[0.7364268],[0.008296],[-0.01589761],[88.76895207]
NACA 4424,[0.75449751],[0.00850359],[-0.03120739],[88.72689261]
HT12,[0.55552654],[0.00626546],[0.00185602],[88.66498362]
"NACA 66,2-(1.8)12 A=.6 P-51 TIP AIRFOIL",[0.67103907],[0.0075687],[-0.03005845],[88.65976186]
12% JOUKOWSKI AIRFOIL,[0.57769475],[0.00653325],[5.90747719e-05],[88.42383283]
EPPLER STF 863-615 AIRFOIL,[1.13146666],[0.01280437],[-0.15125451],[88.36564425]
NACA 0010,[0.55287887],[0.00626176],[0.00102025],[88.29449469]
E477,[0.55312531],[0.00626724],[0.0009604],[88.25666944]
S8021 (7.6%),[0.55269477],[0.00626298],[0.00118285],[88.24785359]
EPPLER 520 AIRFOIL,[0.56690446],[0.00644529],[-0.00345452],[87.95644034]
S8064,[0.64855],[0.00737759],[-0.02641202],[87.90806702]
NACA 0008,[0.55172824],[0.00628346],[0.00102414],[87.80642693]
RAE 100 AIRFOIL,[0.54316246],[0.00618856],[0.00508966],[87.76876944]
EPPLER 904 AIRFOIL,[0.6613524],[0.00754107],[-0.03146126],[87.70003838]
E476,[0.54894494],[0.00626167],[0.00082223],[87.66743176]
EPPLER 479 AIRFOIL,[0.5702868],[0.00651335],[0.00232341],[87.55653638]
HAWKER TEMPEST 61% SEMISPAN AIRFOIL,[0.56133737],[0.00641966],[-0.0012587],[87.44040292]
St. CYR 172 (Royer),[0.54424257],[0.00624214],[0.00596553],[87.18852193]
GOE 429 AIRFOIL,[0.59632312],[0.00684851],[-0.00328912],[87.07346211]
MH 27  11.99%,[0.54478369],[0.00626155],[0.00317913],[87.00455278]
WORTMANN FX L V-152 AIRFOIL,[0.59682939],[0.00686085],[-0.00895697],[86.99058051]
E487,[0.56476045],[0.00650597],[0.00326029],[86.80651395]
E10(08%),[0.51447366],[0.00593533],[0.01484561],[86.67984293]
GOE 513 AIRFOIL,[0.76886451],[0.00887241],[-0.01440491],[86.65793059]
EPPLER EA 8(-1)-006 AIRFOIL,[0.54180932],[0.00625654],[0.00306087],[86.59880631]
NACA 0006,[0.55451571],[0.00640739],[-0.00049527],[86.54316973]
NACA 0012 AIRFOILS,[0.55753871],[0.00644326],[0.00037516],[86.53046492]
Supermarine 371-II (tip),[0.62861601],[0.00726697],[-0.02043639],[86.50312819]
EPPLER 521 AIRFOIL,[0.55415681],[0.00641283],[-0.0011569],[86.41378042]
NACA M2 AIRFOIL,[0.5586549],[0.00647397],[-0.00119918],[86.29248449]
NACA M2,[0.55719756],[0.00645747],[-0.0008803],[86.2872309]
Supermarine 371-I (root),[0.62189142],[0.00720845],[-0.01724786],[86.27250674]
BOEING-VERTOL VR-9 AIRFOIL,[0.58191051],[0.00675189],[-0.00585684],[86.18482106]
NASA/AMES A-02 AIRFOIL,[0.57551709],[0.00667925],[-0.00198588],[86.16487304]
NASA/AMES 63A108 MOD C AIRFOIL,[0.5754048],[0.0066793],[-0.00195905],[86.14743273]
NASA/DLR NLF(2)-0415,[0.8240117],[0.00956927],[-0.09176253],[86.11021762]
E474  (14.09%),[0.55521913],[0.00644879],[0.00562659],[86.09668558]
St. CYR 171 (Royer),[0.51558418],[0.00599289],[0.01242627],[86.03259175]
HT08,[0.55551005],[0.00646511],[0.00105615],[85.92431304]
RAF 30 MOD AIRFOIL,[0.53958448],[0.00628113],[0.00336257],[85.90569495]
HSNLF(1)-0213 AIRFOIL,[0.6469892],[0.00753333],[-0.01268839],[85.8835628]
W1015,[0.55942812],[0.006516],[0.0021825],[85.85453123]
SD8020-010-88,[0.5232179],[0.00609677],[0.00812244],[85.81886193]
MH 49,[0.43540271],[0.0050739],[0.04778367],[85.81220074]
EPPLER EA 6(-1)-009 AIRFOIL,[0.56397395],[0.00658285],[-0.00103741],[85.67326651]
NACA-M1 AIRFOIL,[0.56019892],[0.00654752],[-0.00217077],[85.55900768]
NACA-0009 9.0% smoothed,[0.52492325],[0.00614493],[0.00776837],[85.42376624]
E475  (15.01%),[0.54008822],[0.00635903],[0.00767279],[84.93254254]
S8035 for RC aerobatic  14% thick,[0.53013511],[0.00626334],[0.00782217],[84.64102659]
HQ 0/7 AIRFOIL,[0.54796467],[0.00648146],[0.00100846],[84.54336333]
EH 0.0/9.0,[0.54193933],[0.00641178],[0.00308451],[84.52238604]
RYAN BQM-34 FIREBEE WING AIRFOIL,[0.54112383],[0.00641007],[0.00397186],[84.41774628]
GOE 13K AIRFOIL,[0.97767734],[0.01158162],[-0.11173988],[84.416288]
FX LIII-142 K 25 AIRFOIL,[0.58081774],[0.00688454],[-0.00377644],[84.36557145]
MI-VAWT1,[0.71997464],[0.00854448],[-0.02918514],[84.26191201]
HT05,[0.55228566],[0.00656407],[0.00163467],[84.13774548]
EPPLER 472 AIRFOIL,[0.52994264],[0.00629939],[0.01222902],[84.12599266]
NACA M3 AIRFOIL,[0.55801485],[0.00664039],[-0.00111757],[84.03350425]
NACA M3,[0.55801485],[0.00664039],[-0.00111757],[84.03350425]
NACA 0015,[0.56217607],[0.00669717],[0.00020124],[83.94235814]
RAF 89 AIRFOIL,[0.60554573],[0.00724085],[-0.01090287],[83.62906842]
NACA 66(2)-215,[0.67846058],[0.00811556],[-0.03647333],[83.59994387]
Prandtl-D Wingtip NASA TP-2016-219072,[0.50643569],[0.00606769],[0.01197938],[83.46437797]
HQ 0/9 AIRFOIL,[0.55022666],[0.00659839],[0.00062526],[83.38802068]
WORTMANN FX 71-120 AIRFOIL,[0.52656121],[0.00632023],[0.01188184],[83.31368051]
NACA 0010-64,[0.53415308],[0.00642971],[0.00319702],[83.07579715]
NACA 64-008A AIRFOIL,[0.54413948],[0.00655785],[-8.32798563e-05],[82.97530082]
dh4009sm,[0.59254141],[0.00715978],[-0.01287069],[82.75974996]
RAE 101 AIRFOIL,[0.53746128],[0.0065033],[0.00432444],[82.64438988]
LWK 79-100,[0.56153429],[0.00681117],[0.00092495],[82.44317841]
ESA40,[0.50915986],[0.00617861],[0.05413287],[82.40683632]
FX 79-L-100,[0.56606186],[0.00687186],[-0.00184216],[82.3738889]
RAF 27 AIRFOIL,[0.51791386],[0.00629775],[0.00812401],[82.23787929]
EPPLER E838 HYDROFOIL AIRFOIL,[0.5564772],[0.00676866],[-0.00515971],[82.21374437]
EPPLER E837 HYDROFOIL AIRFOIL,[0.55701586],[0.00679401],[-0.00272448],[81.98626231]
NASA SC(2)-0010 AIRFOIL,[0.57263841],[0.00700504],[-0.00412339],[81.74662387]
FX 79-L-120,[0.5710745],[0.0070092],[-0.0024602],[81.47503588]
N-13,[0.52330667],[0.00643442],[0.00538433],[81.32928948]
HQ 0/10 AIRFOIL,[0.5527628],[0.00679869],[0.00030411],[81.30432794]
US1000ROOT,[0.54703147],[0.0067382],[0.00210741],[81.18365807]
NACA 0018,[0.56389206],[0.00696392],[0.00018613],[80.97340671]
N-12,[0.51346246],[0.00635593],[0.01001219],[80.78481778]
NACA 63A010 AIRFOIL,[0.54899956],[0.00679935],[-0.00061013],[80.74297599]
S4095 (designed for the E-flite UMX ASK-21 scale RC sailplane),[0.83937296],[0.01039638],[-0.05300148],[80.73703128]
NASA/LANGLEY LS(1)-0013 AIRFOIL,[0.5978441],[0.0074199],[-0.01047852],[80.57301503]
NACA 66(3)-418,[0.75759188],[0.00940766],[-0.05843789],[80.52926787]
LWK 80-080,[0.55241166],[0.00686085],[-0.00170874],[80.51652367]
NASA/LANGLEY 64-012 AIRFOIL,[0.5696185],[0.00707517],[-0.00462714],[80.50954527]
GOE 409 AIRFOIL,[0.52189785],[0.00648443],[0.00666045],[80.48471263]
RAE 102 AIRFOIL,[0.53516753],[0.00665],[0.00388366],[80.47637099]
EPPLER 473 AIRFOIL,[0.55348652],[0.00688461],[0.00712056],[80.39480275]
NACA 0012-64,[0.52862622],[0.00660553],[0.00395019],[80.02784583]
S1012,[0.53604958],[0.00669982],[0.00340894],[80.00954152]
GOE 459 AIRFOIL,[0.49710763],[0.00621657],[0.0135636],[79.96496833]
"RONCZ R1145MS FLAP ELEMENT (LONG EZ PIVOT X=0.6874131, Z=-.0138996)",[1.21601384],[0.01521596],[-0.6297353],[79.91701223]
NACA 64A-010 10.0%,[0.54006834],[0.00677088],[0.00136014],[79.76341768]
LWK 80-100,[0.55392908],[0.0069525],[-0.0022528],[79.67332301]
RAF 30 AIRFOIL,[0.53064189],[0.00667163],[0.00589869],[79.53711341]
EPPLER 862 STRUT AIRFOIL,[0.63611281],[0.00800732],[-0.01626106],[79.44144468]
EPPLER EA 6(-1)-012 AIRFOIL,[0.55040294],[0.00693586],[0.00288269],[79.3561361]
RAE 103 AIRFOIL,[0.54754177],[0.00691451],[-0.00061213],[79.18732148]
Zv(15-35)16,[0.53390558],[0.00674392],[0.02718367],[79.1684353]
LWK 80-120/K25,[0.55506801],[0.00701789],[-0.00273648],[79.09326657]
J5012   12%,[0.49928348],[0.00631659],[0.01204969],[79.04318443]
"NACA 66,2-(1.8)15.5 A=.6 P-51 ROOT AIRFOIL",[0.64404872],[0.00816588],[-0.0253541],[78.87072303]
GOE 410 AIRFOIL,[0.56605758],[0.00718098],[0.00325102],[78.82733793]
NASA SC(2)-0012 AIRFOIL,[0.57595426],[0.00731197],[-0.00469145],[78.76868876]
